date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:13	25016/25016	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:01%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/cart.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/cart.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	26921/26921	------	200	untouched ('')	image/jpeg	etag:%22e13fde4f67c059433139a651c8fa465a%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/cart.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/cart.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	31655/31655	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:01%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/checkout.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/checkout.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	32689/32689	------	200	untouched ('')	image/jpeg	etag:%22610bb3bbbbb19727ca495eb88668278c%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/checkout.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/checkout.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	243/243	------	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:28:12%20GMT	https://demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.woff2	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.4b.delayed	(from https://demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css)
15:49:13	21480/21480	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:04%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/my-account.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/my-account.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	34410/34410	------	200	untouched ('')	image/jpeg	etag:%22484bdb2ab024cde4f883c1f8e1be430f%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/my-account.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/my-account.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	23934/23934	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:10%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/wishlist.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/wishlist.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	30561/30561	------	200	untouched ('')	image/jpeg	etag:%222ebc17e48eec6ccb7bce78892b428710%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/wishlist.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/wishlist.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	32922/32922	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:00%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/blog.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/blog.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	54902/54902	------	200	untouched ('')	image/jpeg	etag:%225c4ce4c44b1c0d54a4fbd413f7fd44df%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/blog.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/blog.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	32972/32972	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:00%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/blog-left-sidebar.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/blog-left-sidebar.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	51761/51761	------	200	untouched ('')	image/jpeg	etag:%2232141c18329385eb769b8dbf33d39414%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/blog-left-sidebar.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/blog-left-sidebar.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	243/243	------	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:28:12%20GMT	https://demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.woff	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.4c.delayed	(from https://demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css)
